Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
1	星期六 二月 01 13:37:48 CST 2014	1963517	1	PS MarkSweep	0	0	0	0			247988224	266521920	3791650816	70509520
1	星期六 二月 01 13:37:48 CST 2014	1963595	1	PS Scavenge	6	6	63	63	1814733	19.0	241696768	266521920	3791650816	7679736
2	星期六 二月 01 13:38:49 CST 2014	2023862	1	PS MarkSweep	0	0.0	0	0.0			241696768	266521920	3791650816	45560776
2	星期六 二月 01 13:38:49 CST 2014	2023864	1	PS Scavenge	7	0.0	81	0.0	1963566	19.0	241696768	266521920	3791650816	45909312
3	星期六 二月 01 13:39:49 CST 2014	2084150	1	PS MarkSweep	0	0.0	0	0.0			247988224	266521920	3791650816	20242192
3	星期六 二月 01 13:39:49 CST 2014	2084154	1	PS Scavenge	8	1.0	85	4.0	2067395	4.0	247988224	266521920	3791650816	20690232
4	星期六 二月 01 13:40:49 CST 2014	2144349	1	PS MarkSweep	0	0.0	0	0.0			247988224	266521920	3791650816	57007088
4	星期六 二月 01 13:40:49 CST 2014	2144351	1	PS Scavenge	8	0.0	85	0.0	2067395	4.0	247988224	266521920	3791650816	57455104
5	星期六 二月 01 13:41:49 CST 2014	2204516	1	PS MarkSweep	0	0.0	0	0.0			240123904	266521920	3791650816	32026656
5	星期六 二月 01 13:41:49 CST 2014	2204518	1	PS Scavenge	9	1.0	88	3.0	2156649	3.0	240123904	266521920	3791650816	32349776
6	星期六 二月 01 13:42:50 CST 2014	2264655	1	PS MarkSweep	0	0.0	0	0.0			240123904	266521920	3791650816	67434936
6	星期六 二月 01 13:42:50 CST 2014	2264657	1	PS Scavenge	9	0.0	88	0.0	2156649	3.0	240123904	266521920	3791650816	67758072
7	星期六 二月 01 13:43:50 CST 2014	2324887	1	PS MarkSweep	0	0.0	0	0.0			246415360	266521920	3791650816	42795728
7	星期六 二月 01 13:43:50 CST 2014	2324889	1	PS Scavenge	10	1.0	105	17.0	2264647	18.0	246415360	266521920	3791650816	43220480
8	星期六 二月 01 13:44:50 CST 2014	2385049	1	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	18836624
8	星期六 二月 01 13:44:50 CST 2014	2385052	1	PS Scavenge	11	1.0	106	1.0	2371391	1.0	237502464	266521920	3791650816	19186528
9	星期六 二月 01 13:45:50 CST 2014	2445228	1	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	54767424
9	星期六 二月 01 13:45:50 CST 2014	2445230	1	PS Scavenge	11	0.0	106	0.0	2371391	1.0	237502464	266521920	3791650816	54767424
10	星期六 二月 01 13:46:50 CST 2014	2505426	1	PS MarkSweep	0	0.0	0	0.0			243793920	266521920	3791650816	31750944
10	星期六 二月 01 13:46:50 CST 2014	2505434	1	PS Scavenge	12	1.0	112	6.0	2456699	5.0	243793920	266521920	3791650816	32154728
11	星期六 二月 01 13:47:51 CST 2014	2565630	1	PS MarkSweep	0	0.0	0	0.0			235405312	266521920	3791650816	10027872
