Batch Counter	Report Time	RefreshTime	Node Id	Tx Success	Rx Success	PacketsSent	Current Packets Sent	PacketsResent	Current Packet Resent	PacketsRepeated	Current Repeated	PacketsReceived	Current Packets Received
1	星期六 二月 01 13:37:48 CST 2014	星期六 二月 01 13:37:48 CST 2014	1	0.9993141289437586	1.0	2916	2916	2	2	0	0	2811	2811
2	星期六 二月 01 13:38:49 CST 2014	星期六 二月 01 13:38:49 CST 2014	1	1.0	1.0	3100	184.0	2	0.0	0	0.0	2928	117.0
3	星期六 二月 01 13:39:49 CST 2014	星期六 二月 01 13:39:49 CST 2014	1	1.0	1.0	3192	92.0	2	0.0	0	0.0	3001	73.0
4	星期六 二月 01 13:40:49 CST 2014	星期六 二月 01 13:40:49 CST 2014	1	1.0	1.0	3336	144.0	2	0.0	0	0.0	3097	96.0
5	星期六 二月 01 13:41:49 CST 2014	星期六 二月 01 13:41:49 CST 2014	1	1.0	1.0	3431	95.0	2	0.0	0	0.0	3173	76.0
6	星期六 二月 01 13:42:50 CST 2014	星期六 二月 01 13:42:50 CST 2014	1	1.0	1.0	3521	90.0	2	0.0	0	0.0	3247	74.0
7	星期六 二月 01 13:43:50 CST 2014	星期六 二月 01 13:43:50 CST 2014	1	1.0	1.0	3615	94.0	2	0.0	0	0.0	3322	75.0
8	星期六 二月 01 13:44:50 CST 2014	星期六 二月 01 13:44:50 CST 2014	1	1.0	1.0	3708	93.0	2	0.0	0	0.0	3396	74.0
9	星期六 二月 01 13:45:50 CST 2014	星期六 二月 01 13:45:50 CST 2014	1	1.0	1.0	3800	92.0	2	0.0	0	0.0	3472	76.0
10	星期六 二月 01 13:46:50 CST 2014	星期六 二月 01 13:46:50 CST 2014	1	1.0	1.0	3893	93.0	2	0.0	0	0.0	3546	74.0
11	星期六 二月 01 13:47:51 CST 2014	星期六 二月 01 13:47:51 CST 2014	1	1.0	1.0	3988	95.0	2	0.0	0	0.0	3623	77.0
12	星期六 二月 01 13:48:51 CST 2014	星期六 二月 01 13:48:51 CST 2014	1	1.0	1.0	4077	89.0	2	0.0	0	0.0	3696	73.0
13	星期六 二月 01 13:49:51 CST 2014	星期六 二月 01 13:49:51 CST 2014	1	0.995260663507109	1.0	4288	211.0	3	1.0	0	0.0	3807	111.0
14	星期六 二月 01 13:50:51 CST 2014	星期六 二月 01 13:50:51 CST 2014	1	1.0	1.0	4381	93.0	3	0.0	0	0.0	3884	77.0
15	星期六 二月 01 13:51:51 CST 2014	星期六 二月 01 13:51:51 CST 2014	1	1.0	1.0	4478	97.0	3	0.0	0	0.0	3962	78.0
16	星期六 二月 01 13:52:51 CST 2014	星期六 二月 01 13:52:51 CST 2014	1	1.0	1.0	4575	97.0	3	0.0	0	0.0	4041	79.0
17	星期六 二月 01 13:53:51 CST 2014	星期六 二月 01 13:53:51 CST 2014	1	1.0	1.0	5109	534.0	3	0.0	0	0.0	4478	437.0
18	星期六 二月 01 13:54:52 CST 2014	星期六 二月 01 13:54:52 CST 2014	1	0.9874213836477987	1.0	5268	159.0	5	2.0	0	0.0	4574	96.0
19	星期六 二月 01 13:55:52 CST 2014	星期六 二月 01 13:55:52 CST 2014	1	1.0	1.0	5342	74.0	5	0.0	0	0.0	4645	71.0
20	星期六 二月 01 13:56:52 CST 2014	星期六 二月 01 13:56:52 CST 2014	1	1.0	1.0	5404	62.0	5	0.0	0	0.0	4707	62.0
21	星期六 二月 01 13:57:52 CST 2014	星期六 二月 01 13:57:52 CST 2014	1	1.0	1.0	5468	64.0	5	0.0	0	0.0	4771	64.0
22	星期六 二月 01 13:58:52 CST 2014	星期六 二月 01 13:58:52 CST 2014	1	1.0	1.0	5530	62.0	5	0.0	0	0.0	4833	62.0
23	星期六 二月 01 13:59:52 CST 2014	星期六 二月 01 13:59:52 CST 2014	1	0.9934640522875817	1.0	5683	153.0	6	1.0	0	0.0	4919	86.0
