Batch Counter	Report Time	Min Node Rx Success	Grid Rx Success	Min Node Tx Success	Grid Tx Success
1	星期六 二月 01 13:37:48 CST 2014	1.0	1.0	0.9993141289437586	0.9993141289437586
2	星期六 二月 01 13:38:49 CST 2014	1.0	1.0	1.0	0.9993141289437586
3	星期六 二月 01 13:39:49 CST 2014	1.0	1.0	1.0	1.0
4	星期六 二月 01 13:40:49 CST 2014	1.0	1.0	1.0	1.0
5	星期六 二月 01 13:41:49 CST 2014	1.0	1.0	1.0	1.0
6	星期六 二月 01 13:42:50 CST 2014	1.0	1.0	1.0	1.0
7	星期六 二月 01 13:43:50 CST 2014	1.0	1.0	1.0	1.0
8	星期六 二月 01 13:44:50 CST 2014	1.0	1.0	1.0	1.0
9	星期六 二月 01 13:45:50 CST 2014	1.0	1.0	1.0	1.0
10	星期六 二月 01 13:46:50 CST 2014	1.0	1.0	1.0	1.0
11	星期六 二月 01 13:47:51 CST 2014	1.0	1.0	1.0	1.0
12	星期六 二月 01 13:48:51 CST 2014	1.0	1.0	1.0	1.0
13	星期六 二月 01 13:49:51 CST 2014	1.0	1.0	0.995260663507109	1.0
14	星期六 二月 01 13:50:51 CST 2014	1.0	1.0	1.0	0.995260663507109
15	星期六 二月 01 13:51:51 CST 2014	1.0	1.0	1.0	1.0
16	星期六 二月 01 13:52:51 CST 2014	1.0	1.0	1.0	1.0
17	星期六 二月 01 13:53:51 CST 2014	1.0	1.0	1.0	1.0
18	星期六 二月 01 13:54:52 CST 2014	1.0	1.0	0.9874213836477987	1.0
19	星期六 二月 01 13:55:52 CST 2014	1.0	1.0	1.0	0.9874213836477987
20	星期六 二月 01 13:56:52 CST 2014	1.0	1.0	1.0	1.0
21	星期六 二月 01 13:57:52 CST 2014	1.0	1.0	1.0	1.0
22	星期六 二月 01 13:58:52 CST 2014	1.0	1.0	1.0	1.0
23	星期六 二月 01 13:59:52 CST 2014	1.0	1.0	0.9934640522875817	1.0
