Batch Counter	Report Time	RefreshTime	Node Id	UnicastAddress	MemberName	ProcessName	RoleName	MachineName	RackName	SiteName
1	星期六 二月 01 13:37:48 CST 2014	星期六 二月 01 13:37:48 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
2	星期六 二月 01 13:38:49 CST 2014	星期六 二月 01 13:38:49 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
3	星期六 二月 01 13:39:49 CST 2014	星期六 二月 01 13:39:49 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
4	星期六 二月 01 13:40:49 CST 2014	星期六 二月 01 13:40:49 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
5	星期六 二月 01 13:41:49 CST 2014	星期六 二月 01 13:41:49 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
6	星期六 二月 01 13:42:50 CST 2014	星期六 二月 01 13:42:50 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
7	星期六 二月 01 13:43:50 CST 2014	星期六 二月 01 13:43:50 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
8	星期六 二月 01 13:44:50 CST 2014	星期六 二月 01 13:44:50 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
9	星期六 二月 01 13:45:50 CST 2014	星期六 二月 01 13:45:50 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
10	星期六 二月 01 13:46:50 CST 2014	星期六 二月 01 13:46:50 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
11	星期六 二月 01 13:47:51 CST 2014	星期六 二月 01 13:47:51 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
12	星期六 二月 01 13:48:51 CST 2014	星期六 二月 01 13:48:51 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
13	星期六 二月 01 13:49:51 CST 2014	星期六 二月 01 13:49:51 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
14	星期六 二月 01 13:50:51 CST 2014	星期六 二月 01 13:50:51 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
15	星期六 二月 01 13:51:51 CST 2014	星期六 二月 01 13:51:51 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
16	星期六 二月 01 13:52:51 CST 2014	星期六 二月 01 13:52:51 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
17	星期六 二月 01 13:53:51 CST 2014	星期六 二月 01 13:53:51 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
18	星期六 二月 01 13:54:52 CST 2014	星期六 二月 01 13:54:52 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
19	星期六 二月 01 13:55:52 CST 2014	星期六 二月 01 13:55:52 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
20	星期六 二月 01 13:56:52 CST 2014	星期六 二月 01 13:56:52 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
21	星期六 二月 01 13:57:52 CST 2014	星期六 二月 01 13:57:52 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
22	星期六 二月 01 13:58:52 CST 2014	星期六 二月 01 13:58:52 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
23	星期六 二月 01 13:59:52 CST 2014	星期六 二月 01 13:59:52 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
