Batch Counter	ReportTime	RefreshPolicy	RefreshTime	RefreshExcessCount	RefreshCount	RefreshPredictionCount	RefreshTimeoutCount
1	星期六 二月 01 13:37:56 CST 2014	refresh-ahead	星期六 二月 01 13:37:56 CST 2014	16	24	22	0
1	星期六 二月 01 13:38:01 CST 2014	refresh-ahead	星期六 二月 01 13:38:01 CST 2014	0	0	0	0
2	星期六 二月 01 13:38:57 CST 2014	refresh-ahead	星期六 二月 01 13:38:57 CST 2014	16	29	82	0
2	星期六 二月 01 13:39:01 CST 2014	refresh-ahead	星期六 二月 01 13:39:01 CST 2014	0	0	0	0
3	星期六 二月 01 13:39:57 CST 2014	refresh-ahead	星期六 二月 01 13:39:57 CST 2014	16	33	127	0
3	星期六 二月 01 13:40:01 CST 2014	refresh-ahead	星期六 二月 01 13:40:01 CST 2014	0	0	0	0
4	星期六 二月 01 13:40:57 CST 2014	refresh-ahead	星期六 二月 01 13:40:57 CST 2014	16	34	142	0
4	星期六 二月 01 13:41:01 CST 2014	refresh-ahead	星期六 二月 01 13:41:01 CST 2014	0	0	0	0
5	星期六 二月 01 13:41:57 CST 2014	refresh-ahead	星期六 二月 01 13:41:57 CST 2014	16	36	157	0
5	星期六 二月 01 13:42:01 CST 2014	refresh-ahead	星期六 二月 01 13:42:01 CST 2014	0	0	0	0
6	星期六 二月 01 13:42:58 CST 2014	refresh-ahead	星期六 二月 01 13:42:58 CST 2014	16	38	172	0
6	星期六 二月 01 13:43:02 CST 2014	refresh-ahead	星期六 二月 01 13:43:02 CST 2014	0	0	0	0
7	星期六 二月 01 13:43:58 CST 2014	refresh-ahead	星期六 二月 01 13:43:58 CST 2014	16	40	187	0
7	星期六 二月 01 13:44:02 CST 2014	refresh-ahead	星期六 二月 01 13:44:02 CST 2014	0	0	0	0
8	星期六 二月 01 13:44:58 CST 2014	refresh-ahead	星期六 二月 01 13:44:58 CST 2014	16	42	202	0
8	星期六 二月 01 13:45:02 CST 2014	refresh-ahead	星期六 二月 01 13:45:02 CST 2014	0	0	0	0
9	星期六 二月 01 13:45:58 CST 2014	refresh-ahead	星期六 二月 01 13:45:58 CST 2014	16	44	217	0
9	星期六 二月 01 13:46:02 CST 2014	refresh-ahead	星期六 二月 01 13:46:02 CST 2014	0	0	0	0
10	星期六 二月 01 13:46:59 CST 2014	refresh-ahead	星期六 二月 01 13:46:59 CST 2014	16	46	232	0
10	星期六 二月 01 13:47:02 CST 2014	refresh-ahead	星期六 二月 01 13:47:02 CST 2014	0	0	0	0
11	星期六 二月 01 13:47:59 CST 2014	refresh-ahead	星期六 二月 01 13:47:59 CST 2014	16	48	247	0
11	星期六 二月 01 13:48:03 CST 2014	refresh-ahead	星期六 二月 01 13:48:03 CST 2014	0	0	0	0
12	星期六 二月 01 13:48:59 CST 2014	refresh-ahead	星期六 二月 01 13:48:59 CST 2014	16	50	262	0
12	星期六 二月 01 13:49:03 CST 2014	refresh-ahead	星期六 二月 01 13:49:03 CST 2014	0	0	0	0
13	星期六 二月 01 13:50:00 CST 2014	refresh-ahead	星期六 二月 01 13:50:00 CST 2014	22	59	292	0
13	星期六 二月 01 13:50:03 CST 2014	refresh-ahead	星期六 二月 01 13:50:03 CST 2014	0	0	0	0
14	星期六 二月 01 13:51:00 CST 2014	refresh-ahead	星期六 二月 01 13:51:00 CST 2014	22	61	313	0
14	星期六 二月 01 13:51:03 CST 2014	refresh-ahead	星期六 二月 01 13:51:03 CST 2014	0	0	0	0
15	星期六 二月 01 13:52:00 CST 2014	refresh-ahead	星期六 二月 01 13:52:00 CST 2014	22	64	334	0
15	星期六 二月 01 13:52:03 CST 2014	refresh-ahead	星期六 二月 01 13:52:03 CST 2014	0	0	0	0
16	星期六 二月 01 13:53:00 CST 2014	refresh-ahead	星期六 二月 01 13:53:00 CST 2014	22	66	355	0
16	星期六 二月 01 13:53:03 CST 2014	refresh-ahead	星期六 二月 01 13:53:03 CST 2014	0	0	0	0
17	星期六 二月 01 13:54:03 CST 2014	refresh-ahead	星期六 二月 01 13:54:03 CST 2014	0	0	0	0
18	星期六 二月 01 13:55:04 CST 2014	refresh-ahead	星期六 二月 01 13:55:04 CST 2014	0	0	0	0
19	星期六 二月 01 13:56:04 CST 2014	refresh-ahead	星期六 二月 01 13:56:04 CST 2014	0	0	0	0
20	星期六 二月 01 13:57:04 CST 2014	refresh-ahead	星期六 二月 01 13:57:04 CST 2014	0	0	0	0
21	星期六 二月 01 13:58:04 CST 2014	refresh-ahead	星期六 二月 01 13:58:04 CST 2014	0	0	0	0
22	星期六 二月 01 13:59:04 CST 2014	refresh-ahead	星期六 二月 01 13:59:04 CST 2014	0	0	0	0
