Batch Counter	Report Time	RefreshTime	Node Id	Tx Success	Rx Success	PacketsSent	Current Packets Sent	PacketsResent	Current Packet Resent	PacketsRepeated	Current Repeated	PacketsReceived	Current Packets Received
1	星期六 二月 01 13:37:56 CST 2014	星期六 二月 01 13:37:56 CST 2014	1	0.9993181043300375	1.0	2933	2933	2	2	0	0	2826	2826
1	星期六 二月 01 13:37:56 CST 2014	星期六 二月 01 13:37:56 CST 2014	2	0.9987819732034104	1.0	821	821	1	1	0	0	2988	2988
1	星期六 二月 01 13:37:56 CST 2014	星期六 二月 01 13:37:56 CST 2014	3	1.0	1.0	462	462	0	0	0	0	853	853
1	星期六 二月 01 13:38:00 CST 2014	星期六 二月 01 13:38:00 CST 2014	3	1.0	1.0	517	517	0	0	0	0	879	879
2	星期六 二月 01 13:38:56 CST 2014	星期六 二月 01 13:38:56 CST 2014	1	1.0	1.0	3108	175.0	2	0.0	0	0.0	2937	111.0
2	星期六 二月 01 13:38:56 CST 2014	星期六 二月 01 13:38:56 CST 2014	2	1.0	1.0	927	106.0	1	0.0	0	0.0	3316	328.0
2	星期六 二月 01 13:38:56 CST 2014	星期六 二月 01 13:38:56 CST 2014	3	1.0	1.0	581	119.0	0	0.0	0	0.0	971	118.0
2	星期六 二月 01 13:39:01 CST 2014	星期六 二月 01 13:39:01 CST 2014	3	1.0	1.0	604	87.0	0	0.0	0	0.0	977	98.0
3	星期六 二月 01 13:39:57 CST 2014	星期六 二月 01 13:39:57 CST 2014	1	1.0	1.0	3253	145.0	2	0.0	0	0.0	3031	94.0
3	星期六 二月 01 13:39:57 CST 2014	星期六 二月 01 13:39:57 CST 2014	2	1.0	1.0	989	62.0	1	0.0	0	0.0	3536	220.0
3	星期六 二月 01 13:39:57 CST 2014	星期六 二月 01 13:39:57 CST 2014	3	1.0	1.0	660	79.0	0	0.0	0	0.0	1064	93.0
3	星期六 二月 01 13:40:01 CST 2014	星期六 二月 01 13:40:01 CST 2014	3	1.0	1.0	684	80.0	0	0.0	0	0.0	1070	93.0
4	星期六 二月 01 13:40:57 CST 2014	星期六 二月 01 13:40:57 CST 2014	1	1.0	1.0	3344	91.0	2	0.0	0	0.0	3106	75.0
4	星期六 二月 01 13:40:57 CST 2014	星期六 二月 01 13:40:57 CST 2014	2	1.0	1.0	1014	25.0	1	0.0	0	0.0	3656	120.0
4	星期六 二月 01 13:40:57 CST 2014	星期六 二月 01 13:40:57 CST 2014	3	1.0	1.0	695	35.0	0	0.0	0	0.0	1137	73.0
4	星期六 二月 01 13:41:01 CST 2014	星期六 二月 01 13:41:01 CST 2014	3	1.0	1.0	719	35.0	0	0.0	0	0.0	1146	76.0
5	星期六 二月 01 13:41:57 CST 2014	星期六 二月 01 13:41:57 CST 2014	1	1.0	1.0	3440	96.0	2	0.0	0	0.0	3183	77.0
5	星期六 二月 01 13:41:57 CST 2014	星期六 二月 01 13:41:57 CST 2014	2	1.0	1.0	1037	23.0	1	0.0	0	0.0	3775	119.0
5	星期六 二月 01 13:41:57 CST 2014	星期六 二月 01 13:41:57 CST 2014	3	1.0	1.0	726	31.0	0	0.0	0	0.0	1216	79.0
5	星期六 二月 01 13:42:01 CST 2014	星期六 二月 01 13:42:01 CST 2014	3	1.0	1.0	753	34.0	0	0.0	0	0.0	1222	76.0
6	星期六 二月 01 13:42:58 CST 2014	星期六 二月 01 13:42:58 CST 2014	1	1.0	1.0	3534	94.0	2	0.0	0	0.0	3258	75.0
6	星期六 二月 01 13:42:58 CST 2014	星期六 二月 01 13:42:58 CST 2014	2	1.0	1.0	1061	24.0	1	0.0	0	0.0	3897	122.0
6	星期六 二月 01 13:42:58 CST 2014	星期六 二月 01 13:42:58 CST 2014	3	1.0	1.0	760	34.0	0	0.0	0	0.0	1291	75.0
6	星期六 二月 01 13:43:02 CST 2014	星期六 二月 01 13:43:02 CST 2014	3	1.0	1.0	783	30.0	0	0.0	0	0.0	1296	74.0
7	星期六 二月 01 13:43:58 CST 2014	星期六 二月 01 13:43:58 CST 2014	1	1.0	1.0	3624	90.0	2	0.0	0	0.0	3332	74.0
7	星期六 二月 01 13:43:58 CST 2014	星期六 二月 01 13:43:58 CST 2014	2	1.0	1.0	1084	23.0	1	0.0	0	0.0	4015	118.0
7	星期六 二月 01 13:43:58 CST 2014	星期六 二月 01 13:43:58 CST 2014	3	1.0	1.0	794	34.0	0	0.0	0	0.0	1366	75.0
7	星期六 二月 01 13:44:02 CST 2014	星期六 二月 01 13:44:02 CST 2014	3	1.0	1.0	817	34.0	0	0.0	0	0.0	1372	76.0
8	星期六 二月 01 13:44:58 CST 2014	星期六 二月 01 13:44:58 CST 2014	1	1.0	1.0	3717	93.0	2	0.0	0	0.0	3406	74.0
8	星期六 二月 01 13:44:58 CST 2014	星期六 二月 01 13:44:58 CST 2014	2	1.0	1.0	1107	23.0	1	0.0	0	0.0	4132	117.0
8	星期六 二月 01 13:44:58 CST 2014	星期六 二月 01 13:44:58 CST 2014	3	1.0	1.0	824	30.0	0	0.0	0	0.0	1441	75.0
8	星期六 二月 01 13:45:02 CST 2014	星期六 二月 01 13:45:02 CST 2014	3	1.0	1.0	847	30.0	0	0.0	0	0.0	1446	74.0
9	星期六 二月 01 13:45:58 CST 2014	星期六 二月 01 13:45:58 CST 2014	1	1.0	1.0	3808	91.0	2	0.0	0	0.0	3481	75.0
9	星期六 二月 01 13:45:58 CST 2014	星期六 二月 01 13:45:58 CST 2014	2	1.0	1.0	1130	23.0	1	0.0	0	0.0	4251	119.0
9	星期六 二月 01 13:45:58 CST 2014	星期六 二月 01 13:45:58 CST 2014	3	1.0	1.0	858	34.0	0	0.0	0	0.0	1517	76.0
9	星期六 二月 01 13:46:02 CST 2014	星期六 二月 01 13:46:02 CST 2014	3	1.0	1.0	881	34.0	0	0.0	0	0.0	1521	75.0
10	星期六 二月 01 13:46:59 CST 2014	星期六 二月 01 13:46:58 CST 2014	1	1.0	1.0	3902	94.0	2	0.0	0	0.0	3556	75.0
10	星期六 二月 01 13:46:59 CST 2014	星期六 二月 01 13:46:59 CST 2014	2	1.0	1.0	1155	25.0	1	0.0	0	0.0	4369	118.0
10	星期六 二月 01 13:46:59 CST 2014	星期六 二月 01 13:46:59 CST 2014	3	1.0	1.0	888	30.0	0	0.0	0	0.0	1591	74.0
10	星期六 二月 01 13:47:02 CST 2014	星期六 二月 01 13:47:02 CST 2014	3	1.0	1.0	912	31.0	0	0.0	0	0.0	1598	77.0
11	星期六 二月 01 13:47:59 CST 2014	星期六 二月 01 13:47:59 CST 2014	1	1.0	1.0	3996	94.0	2	0.0	0	0.0	3632	76.0
11	星期六 二月 01 13:47:59 CST 2014	星期六 二月 01 13:47:59 CST 2014	2	1.0	1.0	1179	24.0	1	0.0	0	0.0	4491	122.0
11	星期六 二月 01 13:47:59 CST 2014	星期六 二月 01 13:47:59 CST 2014	3	1.0	1.0	922	34.0	0	0.0	0	0.0	1667	76.0
11	星期六 二月 01 13:48:03 CST 2014	星期六 二月 01 13:48:03 CST 2014	3	1.0	1.0	945	33.0	0	0.0	0	0.0	1672	74.0
12	星期六 二月 01 13:48:59 CST 2014	星期六 二月 01 13:48:59 CST 2014	1	1.0	1.0	4087	91.0	2	0.0	0	0.0	3707	75.0
12	星期六 二月 01 13:48:59 CST 2014	星期六 二月 01 13:48:59 CST 2014	2	1.0	1.0	1203	24.0	1	0.0	0	0.0	4609	118.0
12	星期六 二月 01 13:48:59 CST 2014	星期六 二月 01 13:48:59 CST 2014	3	1.0	1.0	954	32.0	0	0.0	0	0.0	1743	76.0
12	星期六 二月 01 13:49:03 CST 2014	星期六 二月 01 13:49:03 CST 2014	3	1.0	1.0	980	35.0	0	0.0	0	0.0	1748	76.0
13	星期六 二月 01 13:49:59 CST 2014	星期六 二月 01 13:49:59 CST 2014	1	0.995260663507109	1.0	4298	211.0	3	1.0	0	0.0	3818	111.0
13	星期六 二月 01 13:49:59 CST 2014	星期六 二月 01 13:49:59 CST 2014	2	0.9838709677419355	1.0	1265	62.0	2	1.0	0	0.0	4866	257.0
13	星期六 二月 01 13:49:59 CST 2014	星期六 二月 01 13:49:59 CST 2014	3	1.0	1.0	1091	137.0	0	0.0	0	0.0	1844	101.0
13	星期六 二月 01 13:49:59 CST 2014	星期六 二月 01 13:49:59 CST 2014	4	1.0	1.0	98	98	0	0	0	0	237	237
13	星期六 二月 01 13:50:03 CST 2014	星期六 二月 01 13:50:03 CST 2014	3	1.0	1.0	1114	134.0	0	0.0	0	0.0	1849	101.0
14	星期六 二月 01 13:51:00 CST 2014	星期六 二月 01 13:51:00 CST 2014	1	1.0	1.0	4394	96.0	3	0.0	0	0.0	3895	77.0
14	星期六 二月 01 13:51:00 CST 2014	星期六 二月 01 13:51:00 CST 2014	2	1.0	1.0	1308	43.0	2	0.0	0	0.0	5035	169.0
14	星期六 二月 01 13:51:00 CST 2014	星期六 二月 01 13:51:00 CST 2014	3	1.0	1.0	1126	35.0	0	0.0	0	0.0	1921	77.0
14	星期六 二月 01 13:51:00 CST 2014	星期六 二月 01 13:51:00 CST 2014	4	1.0	1.0	133	35.0	0	0.0	0	0.0	320	83.0
