Batch Counter	Report Time	Min Node Rx Success	Grid Rx Success	Min Node Tx Success	Grid Tx Success
1	星期六 二月 01 13:37:56 CST 2014	1.0	1.0	0.9987819732034104	0.9992884250474383
1	星期六 二月 01 13:38:00 CST 2014	1.0	1.0	1.0	1.0
2	星期六 二月 01 13:38:56 CST 2014	1.0	1.0	1.0	0.9992884250474383
2	星期六 二月 01 13:39:01 CST 2014	1.0	1.0	1.0	1.0
3	星期六 二月 01 13:39:57 CST 2014	1.0	1.0	1.0	1.0
3	星期六 二月 01 13:40:01 CST 2014	1.0	1.0	1.0	1.0
4	星期六 二月 01 13:40:57 CST 2014	1.0	1.0	1.0	1.0
4	星期六 二月 01 13:41:01 CST 2014	1.0	1.0	1.0	1.0
5	星期六 二月 01 13:41:57 CST 2014	1.0	1.0	1.0	1.0
5	星期六 二月 01 13:42:01 CST 2014	1.0	1.0	1.0	1.0
6	星期六 二月 01 13:42:58 CST 2014	1.0	1.0	1.0	1.0
6	星期六 二月 01 13:43:02 CST 2014	1.0	1.0	1.0	1.0
7	星期六 二月 01 13:43:58 CST 2014	1.0	1.0	1.0	1.0
7	星期六 二月 01 13:44:02 CST 2014	1.0	1.0	1.0	1.0
8	星期六 二月 01 13:44:58 CST 2014	1.0	1.0	1.0	1.0
8	星期六 二月 01 13:45:02 CST 2014	1.0	1.0	1.0	1.0
9	星期六 二月 01 13:45:58 CST 2014	1.0	1.0	1.0	1.0
9	星期六 二月 01 13:46:02 CST 2014	1.0	1.0	1.0	1.0
10	星期六 二月 01 13:46:59 CST 2014	1.0	1.0	1.0	1.0
10	星期六 二月 01 13:47:02 CST 2014	1.0	1.0	1.0	1.0
11	星期六 二月 01 13:47:59 CST 2014	1.0	1.0	1.0	1.0
11	星期六 二月 01 13:48:02 CST 2014	1.0	1.0	1.0	1.0
12	星期六 二月 01 13:48:59 CST 2014	1.0	1.0	1.0	1.0
12	星期六 二月 01 13:49:03 CST 2014	1.0	1.0	1.0	1.0
13	星期六 二月 01 13:49:59 CST 2014	1.0	1.0	0.9838709677419355	1.0
13	星期六 二月 01 13:50:03 CST 2014	1.0	1.0	1.0	1.0
14	星期六 二月 01 13:51:00 CST 2014	1.0	1.0	1.0	0.9960629921259843
14	星期六 二月 01 13:51:03 CST 2014	1.0	1.0	1.0	1.0
15	星期六 二月 01 13:52:00 CST 2014	1.0	1.0	1.0	1.0
15	星期六 二月 01 13:52:03 CST 2014	1.0	1.0	1.0	1.0
16	星期六 二月 01 13:53:00 CST 2014	1.0	1.0	1.0	1.0
16	星期六 二月 01 13:53:03 CST 2014	1.0	1.0	1.0	1.0
17	星期六 二月 01 13:54:03 CST 2014	1.0	1.0	1.0	1.0
18	星期六 二月 01 13:55:03 CST 2014	1.0	1.0	1.0	1.0
19	星期六 二月 01 13:56:04 CST 2014	1.0	1.0	1.0	1.0
20	星期六 二月 01 13:57:04 CST 2014	1.0	1.0	1.0	1.0
21	星期六 二月 01 13:58:04 CST 2014	1.0	1.0	1.0	1.0
22	星期六 二月 01 13:59:04 CST 2014	1.0	1.0	1.0	1.0
