Batch Counter	Report Time	RefreshTime	Node Id	UnicastAddress	MemberName	ProcessName	RoleName	MachineName	RackName	SiteName
1	星期六 二月 01 13:37:56 CST 2014	星期六 二月 01 13:37:56 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
1	星期六 二月 01 13:37:56 CST 2014	星期六 二月 01 13:37:56 CST 2014	2	GNIU-CN/192.168.56.1	n/a	11832	CoherenceServer	gniu-cn	n/a	n/a
1	星期六 二月 01 13:37:56 CST 2014	星期六 二月 01 13:37:56 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
1	星期六 二月 01 13:38:00 CST 2014	星期六 二月 01 13:38:00 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
2	星期六 二月 01 13:38:56 CST 2014	星期六 二月 01 13:38:56 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
2	星期六 二月 01 13:38:56 CST 2014	星期六 二月 01 13:38:56 CST 2014	2	GNIU-CN/192.168.56.1	n/a	11832	CoherenceServer	gniu-cn	n/a	n/a
2	星期六 二月 01 13:38:56 CST 2014	星期六 二月 01 13:38:56 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
2	星期六 二月 01 13:39:01 CST 2014	星期六 二月 01 13:39:01 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
3	星期六 二月 01 13:39:57 CST 2014	星期六 二月 01 13:39:57 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
3	星期六 二月 01 13:39:57 CST 2014	星期六 二月 01 13:39:57 CST 2014	2	GNIU-CN/192.168.56.1	n/a	11832	CoherenceServer	gniu-cn	n/a	n/a
3	星期六 二月 01 13:39:57 CST 2014	星期六 二月 01 13:39:57 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
3	星期六 二月 01 13:40:01 CST 2014	星期六 二月 01 13:40:01 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
4	星期六 二月 01 13:40:57 CST 2014	星期六 二月 01 13:40:57 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
4	星期六 二月 01 13:40:57 CST 2014	星期六 二月 01 13:40:57 CST 2014	2	GNIU-CN/192.168.56.1	n/a	11832	CoherenceServer	gniu-cn	n/a	n/a
4	星期六 二月 01 13:40:57 CST 2014	星期六 二月 01 13:40:57 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
4	星期六 二月 01 13:41:01 CST 2014	星期六 二月 01 13:41:01 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
5	星期六 二月 01 13:41:57 CST 2014	星期六 二月 01 13:41:57 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
5	星期六 二月 01 13:41:57 CST 2014	星期六 二月 01 13:41:57 CST 2014	2	GNIU-CN/192.168.56.1	n/a	11832	CoherenceServer	gniu-cn	n/a	n/a
5	星期六 二月 01 13:41:57 CST 2014	星期六 二月 01 13:41:57 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
5	星期六 二月 01 13:42:01 CST 2014	星期六 二月 01 13:42:01 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
6	星期六 二月 01 13:42:58 CST 2014	星期六 二月 01 13:42:58 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
6	星期六 二月 01 13:42:58 CST 2014	星期六 二月 01 13:42:58 CST 2014	2	GNIU-CN/192.168.56.1	n/a	11832	CoherenceServer	gniu-cn	n/a	n/a
6	星期六 二月 01 13:42:58 CST 2014	星期六 二月 01 13:42:58 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
6	星期六 二月 01 13:43:01 CST 2014	星期六 二月 01 13:43:01 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
7	星期六 二月 01 13:43:58 CST 2014	星期六 二月 01 13:43:58 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
7	星期六 二月 01 13:43:58 CST 2014	星期六 二月 01 13:43:58 CST 2014	2	GNIU-CN/192.168.56.1	n/a	11832	CoherenceServer	gniu-cn	n/a	n/a
7	星期六 二月 01 13:43:58 CST 2014	星期六 二月 01 13:43:58 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
7	星期六 二月 01 13:44:02 CST 2014	星期六 二月 01 13:44:02 CST 2014	3	GNIU-CN/192.168.56.1	n/a	952	CoherenceServer	gniu-cn	n/a	n/a
8	星期六 二月 01 13:44:58 CST 2014	星期六 二月 01 13:44:58 CST 2014	1	GNIU-CN/192.168.56.1	n/a	6476	CoherenceServer	gniu-cn	n/a	n/a
8	星期六 二月 01 13:44:58 CST 2014	星期六 二月 01 13:44:58 CST 2014	2	GNIU-CN/192.168.56.1	n/a	11832	CoherenceServer	gniu-cn	n/a	n/a
