Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
23	星期六 二月 01 14:00:04 CST 2014	1803008	3	PS MarkSweep	0	0.0	0	0.0			230686720	266521920	3791650816	16289800
23	星期六 二月 01 14:00:04 CST 2014	1803011	3	PS Scavenge	17	1.0	236	2.0	1797085	2.0	230686720	266521920	3791650816	16641560
24	星期六 二月 01 14:01:04 CST 2014	1863125	3	PS MarkSweep	0	0.0	0	0.0			230686720	266521920	3791650816	51782176
24	星期六 二月 01 14:01:04 CST 2014	1863127	3	PS Scavenge	17	0.0	236	0.0	1797085	2.0	230686720	266521920	3791650816	52133952
25	星期六 二月 01 14:02:04 CST 2014	1923233	3	PS MarkSweep	0	0.0	0	0.0			236978176	266521920	3791650816	39560232
25	星期六 二月 01 14:02:04 CST 2014	1923236	3	PS Scavenge	18	1.0	237	1.0	1867721	2.0	236978176	266521920	3791650816	39960480
26	星期六 二月 01 14:03:04 CST 2014	1983332	3	PS MarkSweep	0	0.0	0	0.0			229113856	266521920	3791650816	27639736
26	星期六 二月 01 14:03:04 CST 2014	1983334	3	PS Scavenge	19	1.0	240	3.0	1948562	2.0	229113856	266521920	3791650816	27985152
27	星期六 二月 01 14:04:05 CST 2014	2043442	3	PS MarkSweep	0	0.0	0	0.0			233832448	266521920	3791650816	13919752
27	星期六 二月 01 14:04:05 CST 2014	2043444	3	PS Scavenge	20	1.0	244	4.0	2043369	4.0	233832448	266521920	3791650816	14234288
